time,temp_2m_south,temp_2m_north,temp_2m_east,temp_2m_west
2023-04-13 21:00:00,80.26007,80.11587200000001,74.442812,84.17615000000005
2023-04-13 22:00:00,79.75733000000004,79.52491400000004,73.89896000000009,84.12340999999999
2023-04-13 23:00:00,79.14236000000001,79.30531400000001,73.20025400000009,83.72048000000004
2023-04-14 00:00:00,78.22403600000003,77.97079400000001,72.23120600000007,83.376068
2023-04-14 01:00:00,76.29335600000009,75.4682,69.66662000000002,82.19251400000009
2023-04-14 02:00:00,74.61820400000002,72.81464000000001,68.02602800000008,79.88048600000005
2023-04-14 03:00:00,71.28743000000009,68.72151200000003,66.55001000000003,72.494654
2023-04-14 04:00:00,70.479824,67.59305600000006,65.98274,71.90837600000006
2023-04-14 05:00:00,69.50649200000005,65.80536800000007,64.62795200000002,71.05006399999999
2023-04-14 06:00:00,68.682128,64.34769200000008,63.546980000000076,69.59663600000002
2023-04-14 07:00:00,67.49857399999999,64.12460000000007,63.275648000000004,68.49019400000002
2023-04-14 08:00:00,67.38085400000008,62.962106000000084,62.36456000000006,67.22780000000004
2023-04-14 09:00:00,65.592554,61.60585999999999,61.952792000000024,64.78628000000003
2023-04-14 10:00:00,66.36329600000006,60.219968000000065,61.09552400000008,61.85804000000003
2023-04-14 11:00:00,66.45119000000008,60.07994600000008,60.90296000000004,61.810124000000066
2023-04-14 12:00:00,66.04865600000005,59.96519600000003,61.34568800000009,60.990710000000014
2023-04-14 13:00:00,66.56462600000006,60.84590000000004,63.36032000000007,60.66032000000007
2023-04-14 14:00:00,68.702234,64.66942400000008,68.01234800000003,64.51336400000007
2023-04-14 15:00:00,72.37796000000004,70.355894,73.28035400000003,72.18451400000008
2023-04-14 16:00:00,75.92514800000006,74.42051000000004,75.19046000000004,76.22985200000008
2023-04-14 17:00:00,78.12518000000006,76.99087400000002,76.40695400000007,78.55345400000007
2023-04-14 18:00:00,79.73196800000002,78.75775400000005,76.517132,79.92899600000004
2023-04-14 19:00:00,80.74468400000009,80.27342600000004,76.43001200000008,80.60723600000004
2023-04-14 20:00:00,81.93956000000006,81.74811200000008,76.13826800000007,81.48081200000004
2023-04-14 21:00:00,83.04098000000005,83.03907200000006,76.65749600000005,82.85054000000007
2023-04-14 22:00:00,83.56010000000009,82.733,75.556544,83.34530600000001
2023-04-14 23:00:00,83.13200600000003,81.70928600000008,74.97543200000004,83.36793200000008
2023-04-15 00:00:00,81.99410000000009,80.5523,74.75905400000006,82.69908800000009
2023-04-15 01:00:00,81.13276400000008,78.84289400000006,74.26763600000007,81.97696400000007
2023-04-15 02:00:00,78.85481000000006,76.57883600000005,73.46222600000006,78.72594800000003
2023-04-15 03:00:00,75.871796,73.38686000000003,72.87742400000009,70.45070000000007
2023-04-15 04:00:00,75.14065400000004,72.73355000000001,72.40208000000003,68.76062600000002
2023-04-15 05:00:00,74.54984,71.65205600000004,72.03295400000006,67.73275400000004
2023-04-15 06:00:00,73.83538400000006,71.05951400000008,71.99592800000002,66.73600400000008
2023-04-15 07:00:00,72.70136600000002,70.56568400000003,71.86179200000001,65.85902600000007
2023-04-15 08:00:00,71.57564599999999,69.252656,71.48962400000006,64.651748
2023-04-15 09:00:00,69.81638000000008,68.29898000000006,70.82204000000006,63.25658600000004
2023-04-15 10:00:00,67.49042000000001,64.85993600000009,70.52360000000007,56.329160000000044
2023-04-15 11:00:00,68.13352400000002,64.13165600000005,70.47834800000004,56.53850000000009
2023-04-15 12:00:00,68.05898600000005,64.02425000000008,70.246634,56.63204600000006
2023-04-15 13:00:00,69.71714600000004,64.461236,70.434554,57.52850000000001
2023-04-15 14:00:00,72.0480200000001,66.64604000000007,71.4445880000001,60.28304000000003
2023-04-15 15:00:00,78.06412400000002,70.63462400000002,76.30361600000006,69.09544400000003
2023-04-15 16:00:00,80.74945400000001,71.76032600000009,78.38636000000008,70.73735000000003
2023-04-15 17:00:00,83.66419400000004,72.804632,79.80818000000006,73.29704000000007
2023-04-15 18:00:00,85.94142800000003,73.75809200000009,81.27068000000006,74.89390999999999
2023-04-15 19:00:00,87.271664,75.72290000000001,82.13478800000003,76.42850000000001
2023-04-15 20:00:00,88.68268400000002,77.09491399999999,83.46560000000008,78.08840599999999
2023-04-15 21:00:00,89.52774800000009,78.29182400000005,84.14576600000002,80.67952400000007
2023-04-15 22:00:00,89.46302,76.531964,82.70393000000004,80.386628
2023-04-15 23:00:00,88.40060600000007,75.55649000000004,79.38885200000007,80.30742800000004
2023-04-16 00:00:00,86.78980400000002,74.1105860000001,76.66550600000008,79.46186000000003
2023-04-16 01:00:00,83.84869400000007,72.00995000000003,74.777072,78.928754
2023-04-16 02:00:00,81.28958000000003,69.0989,73.90826600000003,75.77771000000007
2023-04-16 03:00:00,76.46352800000008,64.10780600000001,72.62610800000002,67.028468
2023-04-16 04:00:00,74.90489,61.84715,70.96289,64.05332000000006
2023-04-16 05:00:00,73.33646000000009,59.11062800000002,69.55098800000005,62.55114800000005
2023-04-16 06:00:00,72.52880000000003,57.10769600000007,67.97353999999999,61.30205600000005
2023-04-16 07:00:00,71.4178400000001,55.29776000000008,67.13700800000008,59.64076400000008
